"n";"x";"b_Minus_a";"b";"a"
2;0.690745633944098;1;1;0
3;0.5;0.5;1;0.5
4;0.75;0.25;0.75;0.5
5;0.625;0.125;0.75;0.625
6;0.6875;0.0625;0.75;0.6875
7;0.71875;0.03125;0.71875;0.6875
8;0.703125;0.015625;0.703125;0.6875
9;0.6953125;0.0078125;0.6953125;0.6875
10;0.69140625;0.00390625;0.6953125;0.69140625
11;0.693359375;0.001953125;0.693359375;0.69140625
12;0.6923828125;0.0009765625;0.693359375;0.6923828125
13;0.69287109375;0.00048828125;0.693359375;0.69287109375
14;0.693115234375;0.000244140625;0.693359375;0.693115234375
15;0.6932373046875;0.0001220703125;0.6932373046875;0.693115234375
16;0.69317626953125;6.103515625e-05;0.69317626953125;0.693115234375
17;0.693145751953125;3.0517578125e-05;0.69317626953125;0.693145751953125
18;0.693161010742188;1.52587890625e-05;0.693161010742188;0.693145751953125
19;0.693153381347656;7.62939453125e-06;0.693153381347656;0.693145751953125
20;0.693149566650391;3.814697265625e-06;0.693149566650391;0.693145751953125
21;0.693147659301758;1.9073486328125e-06;0.693147659301758;0.693145751953125
