5  1  0.002000 0.028000
5  3  0.002000 0.131000
10  3  0.011000 0.209000
50  3  0.804000 3.317000
100  3  6.020000 13.727000
10  6  0.008000 1.668000
50  6  0.792000 39.694000
100  6  5.999000 165.117000
10  9  0.008000 2.365000
50  9  0.785000 58.627000
100  9  6.001000 237.750000
200  6  46.799000 683.853000
200  9  46.849000 966.385000
200  12  47.094000 1280.085000
500  6  727.451000 4695.804000
500  9  735.974000 6279.162000
500  12  760.706000 8148.610000
500  15  727.736000 10149.376000
700  6  2020.920000 9530.085000
700  9  2031.257000 12514.355000
700  12  2059.261000 16330.096000
700  15  2030.978000 20054.129000
1000  9  6269.413000 26620.803000
1000  12  6241.517000 34032.088000
1000  15  6343.296000 41997.678000
2000  12  47359.079000 149683.591000
2000  15  47242.829000 181112.205000
